DATE,ISRCPIALLMINMEI
1986-12-01,17.08033
1987-01-01,17.40059
1987-02-01,17.50734
1987-03-01,17.82759
1987-04-01,18.14785
1987-05-01,18.36135
1987-06-01,18.46811
1987-07-01,18.57486
1987-08-01,18.78836
1987-09-01,19.00187
1987-10-01,19.21537
1987-11-01,19.535629999999998
1987-12-01,19.749129999999997
1988-01-01,20.06939
1988-02-01,20.28289
1988-03-01,20.60315
1988-04-01,21.13691
1988-05-01,21.45717
1988-06-01,21.45717
1988-07-01,21.45717
1988-08-01,21.67067
1988-09-01,22.09768
1988-10-01,22.631439999999998
1988-11-01,23.05845
1988-12-01,23.1652
1989-01-01,24.23272
1989-02-01,24.552979999999998
1989-03-01,24.766479999999998
1989-04-01,25.30024
1989-05-01,25.51374
1989-06-01,25.834
1989-07-01,26.0475
1989-08-01,26.26101
1989-09-01,26.68802
1989-10-01,27.22178
1989-11-01,27.54203
1989-12-01,27.86229
1990-01-01,28.07579
1990-02-01,28.2893
1990-03-01,28.60955
1990-04-01,29.356820000000003
1990-05-01,29.78383
1990-06-01,29.997329999999998
1990-07-01,30.531090000000003
1990-08-01,31.06485
1990-09-01,31.70536
1990-10-01,32.34588
1990-11-01,32.77288
1990-12-01,32.87964
1991-01-01,33.30664
1991-02-01,33.4134
1991-03-01,33.8404
1991-04-01,34.69442
1991-05-01,35.22818
1991-06-01,35.86869
1991-07-01,37.042970000000004
1991-08-01,37.683479999999996
1991-09-01,38.32399
1991-10-01,38.5375
1991-11-01,38.64425
1991-12-01,38.751
1992-01-01,38.751
1992-02-01,39.071259999999995
1992-03-01,39.60502
1992-04-01,40.45903
1992-05-01,40.24553
1992-06-01,40.35228
1992-07-01,40.56578
1992-08-01,40.88604
1992-09-01,41.52655
1992-10-01,41.74006
1992-11-01,41.953559999999996
1992-12-01,42.487320000000004
1993-01-01,42.91433
1993-02-01,43.44809
1993-03-01,44.0886
1993-04-01,44.62236
1993-05-01,44.72912
1993-06-01,44.94262
1993-07-01,44.94262
1993-08-01,45.262879999999996
1993-09-01,45.796640000000004
1993-10-01,46.3304
1993-11-01,46.7574
1993-12-01,47.077659999999995
1994-01-01,47.504670000000004
1994-02-01,47.71817
1994-03-01,48.145179999999996
1994-04-01,49.2127
1994-05-01,49.63971
1994-06-01,50.38698
1994-07-01,50.92074
1994-08-01,51.4545
1994-09-01,52.095009999999995
1994-10-01,52.84226999999999
1994-11-01,53.48279
1994-12-01,53.90979
1995-01-01,54.01655
1995-02-01,54.1233
1995-03-01,54.01655
1995-04-01,54.550309999999996
1995-05-01,55.08407
1995-06-01,55.190819999999995
1995-07-01,55.29756999999999
1995-08-01,55.93808000000001
1995-09-01,56.5786
1995-10-01,57.112359999999995
1995-11-01,57.539359999999995
1995-12-01,58.179880000000004
1996-01-01,58.713640000000005
1996-02-01,59.35415
1996-03-01,59.994659999999996
1996-04-01,60.84868
1996-05-01,62.02295
1996-06-01,62.34321
1996-07-01,62.556709999999995
1996-08-01,62.770219999999995
1996-09-01,63.090469999999996
1996-10-01,63.624230000000004
1996-11-01,64.05124
1996-12-01,64.47825
1997-01-01,64.69176
1997-02-01,65.43902
1997-03-01,65.97278
1997-04-01,66.50654
1997-05-01,66.8268
1997-06-01,67.68081
1997-07-01,68.32133
1997-08-01,68.64158
1997-09-01,68.64158
1997-10-01,69.4956
1997-11-01,69.28209
1997-12-01,69.06859
1998-01-01,69.28209
1998-02-01,69.17534
1998-03-01,69.06859
1998-04-01,69.92260999999999
1998-05-01,70.24286
1998-06-01,70.56312
1998-07-01,70.45636999999999
1998-08-01,70.77662
1998-09-01,71.73739
